Unnamed: 0,Date,State,Confirmed,Deceased,Recovered,State_Name
3156,-9223372036854775808,UP,604,23,399,Uttar Pradesh
3157,-9223372036854775808,UT,80,0,132,Uttarakhand
3158,-9223372036854775808,WB,435,12,468,West Bengal
3159,-9223372036854775808,AN,0,0,0,Andaman and Nicobar Islands
3160,-9223372036854775808,AP,0,0,0,Andhra Pradesh
3161,-9223372036854775808,AR,0,0,0,Arunachal Pradesh
3162,-9223372036854775808,AS,0,0,0,Assam
3163,-9223372036854775808,BR,0,0,0,Bihar
3164,-9223372036854775808,CH,0,0,0,Chandigarh
3165,-9223372036854775808,CT,0,0,0,Chhattisgarh
3166,-9223372036854775808,DD,0,0,0,Daman and Diu
3167,-9223372036854775808,DL,2,0,0,Delhi
3168,-9223372036854775808,DN,0,0,0,Dadra and Nagar Haveli and Daman and Diu
3169,-9223372036854775808,GA,0,0,0,Goa
3170,-9223372036854775808,GJ,0,0,0,Gujarat
3171,-9223372036854775808,HP,0,0,0,Himachal Pradesh
3172,-9223372036854775808,HR,1,0,0,Haryana
3173,-9223372036854775808,JH,0,0,0,Jharkhand
3174,-9223372036854775808,JK,1,0,0,Jammu and Kashmir
3175,-9223372036854775808,KA,5,0,0,Karnataka
3176,-9223372036854775808,KL,0,0,0,Kerala
3177,-9223372036854775808,LA,8,0,0,Ladakh
3178,-9223372036854775808,LD,0,0,0,Lakshadweep
3179,-9223372036854775808,MH,3,0,0,Maharashtra
3180,-9223372036854775808,ML,0,0,0,Meghalaya
3181,-9223372036854775808,MN,0,0,0,Manipur
3182,-9223372036854775808,MP,0,0,0,Madhya Pradesh
3183,-9223372036854775808,MZ,0,0,0,Mizoram
3184,-9223372036854775808,NL,0,0,0,Nagaland
3185,-9223372036854775808,OR,1,0,0,Odisha
3186,-9223372036854775808,PB,1,0,0,Punjab
3187,-9223372036854775808,PY,0,0,0,Puducherry
3188,-9223372036854775808,RJ,3,0,0,Rajasthan
3189,-9223372036854775808,SK,0,0,0,Sikkim
3190,-9223372036854775808,TG,8,0,0,Telangana
3191,-9223372036854775808,TN,1,0,0,Tamil Nadu
3192,-9223372036854775808,TR,0,0,0,Tripura
3193,-9223372036854775808,TT,37,0,0,Total
3194,-9223372036854775808,UN,0,0,0,State Unassigned
3195,-9223372036854775808,UP,2,0,0,Uttar Pradesh
3196,-9223372036854775808,UT,1,0,0,Uttarakhand
3197,-9223372036854775808,WB,0,0,0,West Bengal
3198,-9223372036854775808,AN,0,0,0,Andaman and Nicobar Islands
3199,-9223372036854775808,AP,52,0,96,Andhra Pradesh
3200,-9223372036854775808,AR,0,0,0,Arunachal Pradesh
3201,-9223372036854775808,AS,15,2,0,Assam
3202,-9223372036854775808,BR,103,1,44,Bihar
3203,-9223372036854775808,CH,5,0,3,Chandigarh
3204,-9223372036854775808,CT,10,0,0,Chhattisgarh
3205,-9223372036854775808,DD,0,0,0,Daman and Diu
3206,-9223372036854775808,DL,299,12,283,Delhi
3207,-9223372036854775808,DN,0,0,0,Dadra and Nagar Haveli and Daman and Diu
3208,-9223372036854775808,GA,9,0,0,Goa
3209,-9223372036854775808,GJ,366,35,305,Gujarat
3210,-9223372036854775808,HP,10,0,2,Himachal Pradesh
3211,-9223372036854775808,HR,18,0,36,Haryana
3212,-9223372036854775808,JH,5,0,14,Jharkhand
3213,-9223372036854775808,JK,106,2,34,Jammu and Kashmir
3214,-9223372036854775808,KA,99,0,21,Karnataka
3215,-9223372036854775808,KL,29,0,0,Kerala
3216,-9223372036854775808,LA,0,0,19,Ladakh
3217,-9223372036854775808,LD,0,0,0,Lakshadweep
3218,-9223372036854775808,MH,2005,51,749,Maharashtra
3219,-9223372036854775808,ML,0,0,1,Meghalaya
3220,-9223372036854775808,MN,0,0,0,Manipur
3221,-9223372036854775808,MP,259,4,32,Madhya Pradesh
3222,-9223372036854775808,MZ,0,0,0,Mizoram
3223,-9223372036854775808,NL,0,0,0,Nagaland
3224,-9223372036854775808,OR,48,0,57,Odisha
3225,-9223372036854775808,PB,16,2,181,Punjab
3226,-9223372036854775808,PY,0,0,0,Puducherry
3227,-9223372036854775808,RJ,305,7,163,Rajasthan
3228,-9223372036854775808,SK,0,0,0,Sikkim
3229,-9223372036854775808,TG,41,0,10,Telangana
3230,-9223372036854775808,TN,536,3,234,Tamil Nadu
3231,-9223372036854775808,TR,0,0,4,Tripura
3232,-9223372036854775808,TT,4628,131,2482,Total
3233,-9223372036854775808,UN,0,0,0,State Unassigned
3234,-9223372036854775808,UP,141,6,147,Uttar Pradesh
3235,-9223372036854775808,UT,4,0,0,Uttarakhand
3236,-9223372036854775808,WB,147,6,47,West Bengal
3237,-9223372036854775808,AN,1,0,0,Andaman and Nicobar Islands
3238,-9223372036854775808,AP,44,1,23,Andhra Pradesh
3239,-9223372036854775808,AR,0,0,0,Arunachal Pradesh
3240,-9223372036854775808,AS,0,0,5,Assam
3241,-9223372036854775808,BR,10,0,0,Bihar
3242,-9223372036854775808,CH,3,0,4,Chandigarh
3243,-9223372036854775808,CT,0,0,0,Chhattisgarh
3244,-9223372036854775808,DD,0,0,0,Daman and Diu
3245,-9223372036854775808,DL,110,2,83,Delhi
3246,-9223372036854775808,DN,0,0,0,Dadra and Nagar Haveli and Daman and Diu
3247,-9223372036854775808,GA,0,0,1,Goa
3248,-9223372036854775808,GJ,367,10,12,Gujarat
3249,-9223372036854775808,HP,0,0,0,Himachal Pradesh
3250,-9223372036854775808,HR,18,0,4,Haryana
3251,-9223372036854775808,JH,8,0,0,Jharkhand
3252,-9223372036854775808,JK,13,0,5,Jammu and Kashmir
3253,-9223372036854775808,KA,6,2,7,Karnataka
3254,-9223372036854775808,KL,2,0,13,Kerala
3255,-9223372036854775808,LA,0,0,0,Ladakh
3256,-9223372036854775808,LD,0,0,0,Lakshadweep
3257,-9223372036854775808,MH,552,12,142,Maharashtra
3258,-9223372036854775808,ML,0,0,0,Meghalaya
3259,-9223372036854775808,MN,0,0,0,Manipur
3260,-9223372036854775808,MP,5,3,4,Madhya Pradesh
3261,-9223372036854775808,MZ,0,0,0,Mizoram
3262,-9223372036854775808,NL,0,0,0,Nagaland
3263,-9223372036854775808,OR,0,0,0,Odisha
3264,-9223372036854775808,PB,10,0,6,Punjab
3265,-9223372036854775808,PY,0,0,0,Puducherry
3266,-9223372036854775808,RJ,127,2,5,Rajasthan
3267,-9223372036854775808,SK,0,0,0,Sikkim
3268,-9223372036854775808,TG,49,3,0,Telangana
3269,-9223372036854775808,TN,105,0,46,Tamil Nadu
3270,-9223372036854775808,TR,0,0,0,Tripura
3271,-9223372036854775808,TT,1580,38,388,Total
3272,-9223372036854775808,UN,0,0,0,State Unassigned
3273,-9223372036854775808,UP,125,3,19,Uttar Pradesh
3274,-9223372036854775808,UT,2,0,2,Uttarakhand
3275,-9223372036854775808,WB,23,0,7,West Bengal
3276,-9223372036854775808,AN,15,0,0,Andaman and Nicobar Islands
3277,-9223372036854775808,AP,5041,56,1127,Andhra Pradesh
3278,-9223372036854775808,AR,90,0,8,Arunachal Pradesh
3279,-9223372036854775808,AS,1018,4,858,Assam
3280,-9223372036854775808,BR,1412,2,826,Bihar
3281,-9223372036854775808,CH,26,0,3,Chandigarh
3282,-9223372036854775808,CT,161,0,117,Chhattisgarh
3283,-9223372036854775808,DD,0,0,0,Daman and Diu
3284,-9223372036854775808,DL,1211,31,1860,Delhi
3285,-9223372036854775808,DN,37,0,14,Dadra and Nagar Haveli and Daman and Diu
3286,-9223372036854775808,GA,173,1,180,Goa
3287,-9223372036854775808,GJ,965,20,877,Gujarat
3288,-9223372036854775808,HP,64,0,29,Himachal Pradesh
3289,-9223372036854775808,HR,617,5,475,Haryana
3290,-9223372036854775808,JH,167,1,62,Jharkhand
3291,-9223372036854775808,JK,701,8,646,Jammu and Kashmir
3292,-9223372036854775808,KA,4120,91,1290,Karnataka
3293,-9223372036854775808,KL,821,2,172,Kerala
3294,-9223372036854775808,LA,19,0,18,Ladakh
3295,-9223372036854775808,LD,0,0,0,Lakshadweep
3296,-9223372036854775808,MH,9518,258,3906,Maharashtra
3297,-9223372036854775808,ML,32,2,0,Meghalaya
3298,-9223372036854775808,MN,20,0,53,Manipur
3299,-9223372036854775808,MP,837,15,447,Madhya Pradesh
3300,-9223372036854775808,MZ,0,0,0,Mizoram
3301,-9223372036854775808,NL,10,0,13,Nagaland
3302,-9223372036854775808,OR,736,7,516,Odisha
3303,-9223372036854775808,PB,308,8,81,Punjab
3304,-9223372036854775808,PY,109,0,92,Puducherry
3305,-9223372036854775808,RJ,934,6,586,Rajasthan
3306,-9223372036854775808,SK,10,0,0,Sikkim
3307,-9223372036854775808,TG,1296,6,1831,Telangana
3308,-9223372036854775808,TN,4979,78,4059,Tamil Nadu
3309,-9223372036854775808,TR,223,0,24,Tripura
3310,-9223372036854775808,TT,40235,675,22730,Total
3311,-9223372036854775808,UN,-163,0,0,State Unassigned
3312,-9223372036854775808,UP,2211,38,1181,Uttar Pradesh
3313,-9223372036854775808,UT,239,0,35,Uttarakhand
3314,-9223372036854775808,WB,2278,36,1344,West Bengal
3315,-9223372036854775808,AN,2,0,0,Andaman and Nicobar Islands
3316,-9223372036854775808,AP,465,4,133,Andhra Pradesh
3317,-9223372036854775808,AR,32,0,3,Arunachal Pradesh
3318,-9223372036854775808,AS,0,0,218,Assam
3319,-9223372036854775808,BR,250,5,137,Bihar
3320,-9223372036854775808,CH,7,0,9,Chandigarh
3321,-9223372036854775808,CT,72,1,103,Chhattisgarh
3322,-9223372036854775808,DD,0,0,0,Daman and Diu
3323,-9223372036854775808,DL,3137,66,2228,Delhi
3324,-9223372036854775808,DN,14,0,0,Dadra and Nagar Haveli and Daman and Diu
3325,-9223372036854775808,GA,20,0,9,Goa
3326,-9223372036854775808,GJ,540,27,340,Gujarat
3327,-9223372036854775808,HP,32,0,12,Himachal Pradesh
3328,-9223372036854775808,HR,525,10,333,Haryana
3329,-9223372036854775808,JH,42,0,137,Jharkhand
3330,-9223372036854775808,JK,125,4,50,Jammu and Kashmir
3331,-9223372036854775808,KA,337,9,230,Karnataka
3332,-9223372036854775808,KL,118,0,96,Kerala
3333,-9223372036854775808,LA,57,0,0,Ladakh
3334,-9223372036854775808,LD,0,0,0,Lakshadweep
3335,-9223372036854775808,MH,3827,142,1935,Maharashtra
3336,-9223372036854775808,ML,0,0,0,Meghalaya
3337,-9223372036854775808,MN,75,0,19,Manipur
3338,-9223372036854775808,MP,156,9,116,Madhya Pradesh
3339,-9223372036854775808,MZ,0,0,8,Mizoram
3340,-9223372036854775808,NL,5,0,16,Nagaland
3341,-9223372036854775808,OR,165,0,153,Odisha
3342,-9223372036854775808,PB,217,9,66,Punjab
3343,-9223372036854775808,PY,16,1,2,Puducherry
3344,-9223372036854775808,RJ,299,3,255,Rajasthan
3345,-9223372036854775808,SK,0,0,16,Sikkim
3346,-9223372036854775808,TG,499,3,51,Telangana
3347,-9223372036854775808,TN,2115,41,1630,Tamil Nadu
3348,-9223372036854775808,TR,27,0,18,Tripura
3349,-9223372036854775808,TT,14638,364,9029,Total
3350,-9223372036854775808,UN,224,0,0,State Unassigned
3351,-9223372036854775808,UP,809,19,357,Uttar Pradesh
3352,-9223372036854775808,UT,74,0,47,Uttarakhand
3353,-9223372036854775808,WB,355,11,302,West Bengal
3354,-9223372036854775808,AN,0,0,0,Andaman and Nicobar Islands
3355,-9223372036854775808,AP,2,0,0,Andhra Pradesh
3356,-9223372036854775808,AR,0,0,0,Arunachal Pradesh
3357,-9223372036854775808,AS,0,0,0,Assam
3358,-9223372036854775808,BR,0,0,0,Bihar
3359,-9223372036854775808,CH,1,0,0,Chandigarh
3360,-9223372036854775808,CT,1,0,0,Chhattisgarh
3361,-9223372036854775808,DD,0,0,0,Daman and Diu
3362,-9223372036854775808,DL,4,0,1,Delhi
3363,-9223372036854775808,DN,0,0,0,Dadra and Nagar Haveli and Daman and Diu
3364,-9223372036854775808,GA,0,0,0,Goa
3365,-9223372036854775808,GJ,2,0,0,Gujarat
