Date,Daily Confirmed,Total Confirmed,Daily Recovered,Total Recovered,Daily Deceased,Total Deceased
-9223372036854775808,18339,567539,13497,335275,417,16905
-9223372036854775808,18256,585795,12565,347840,506,17411
-9223372036854775808,19429,605224,12064,359904,438,17849
-9223372036854775808,21947,627171,19999,379903,378,18227
-9223372036854775808,22718,649889,14417,394320,444,18671
-9223372036854775808,24018,673907,14746,409066,611,19282
-9223372036854775808,23942,697849,15829,424895,421,19703
-9223372036854775808,22500,720349,15315,440210,473,20176
-9223372036854775808,23147,743496,16836,457046,479,20655
-9223372036854775808,25561,769057,19508,476554,492,21147
-9223372036854775808,25790,794847,19408,495962,479,21626
-9223372036854775808,27762,822609,20289,516251,520,22146
-9223372036854775808,27757,850366,19981,536232,543,22689
-9223372036854775808,29106,879472,18198,554430,500,23189
-9223372036854775808,28178,907650,17683,572113,541,23730
-9223372036854775808,29917,937567,20977,593090,587,24317
-9223372036854775808,32607,970174,20646,613736,614,24931
-9223372036854775808,35468,1005642,22867,636603,680,25611
-9223372036854775808,34820,1040462,17476,654079,676,26287
-9223372036854775808,37411,1077873,23583,677662,543,26830
-9223372036854775808,40235,1118108,22730,700392,675,27505
-9223372036854775808,36806,1154914,24303,724695,596,28101
-9223372036854775808,39170,1194084,27589,752284,671,28772
-9223372036854775808,45601,1239685,31875,784159,1130,29902
-9223372036854775808,48443,1288128,33326,817485,755,30657
-9223372036854775808,48888,1337016,32514,849999,763,31420
-9223372036854775808,50072,1387088,37125,887124,703,32123
-9223372036854775808,48932,1436020,31512,918636,704,32827
-9223372036854775808,46484,1482504,34354,952990,642,33469
-9223372036854775808,49631,1532135,35683,988673,774,34243
-9223372036854775808,52479,1584614,32886,1021559,775,35018
-9223372036854775808,54968,1639582,37425,1058984,784,35802
-9223372036854775808,57486,1697068,36554,1095538,764,36566
-9223372036854775808,55117,1752185,51368,1146906,854,37420
-9223372036854775808,52672,1804857,40355,1187261,760,38180
-9223372036854775808,50488,1855345,43070,1230331,806,38986
-9223372036854775808,51282,1906627,51220,1281551,849,39835
-9223372036854775808,56626,1963253,45583,1327134,919,40754
-9223372036854775808,62170,2025423,50141,1377275,899,41653
